Descr. 1,Descr. 2,Comune,Provincia,Tipologia punto vendita,P.Iva,Email punto vendita,Agente,Link modulo precompilato
Farmacia Cooperativa Maglio Di Sopra,,Valdagno,VI,Farmacia,00148070246,farmacoope@tiscali.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Cooperativa%20Maglio%20Di%20Sopra&r26540616401e4f999c44de10ddc004ee=Valdagno&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=00148070246&r1addcad129b44b3cb2220834a33335d5=farmacoope%40tiscali.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Sanitaria Ortopedia Erboristeria RR di,Roncolato Vania,Montecchio Maggiore,VI,Sanitaria Ortopedia,04317040238,roncolatovania@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sanitaria%20Ortopedia%20Erboristeria%20RR%20di&rc51bef4dd505413ebc19b4d510a3365a=Roncolato%20Vania&r26540616401e4f999c44de10ddc004ee=Montecchio%20Maggiore&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=04317040238&r1addcad129b44b3cb2220834a33335d5=roncolatovania%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Erboristeria Creation 2000 France S.n.c., Di Busin Nathalie & C.,Thiene,VI,Erboristeria,02154450247,businadriano@yahoo.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Creation%202000%20France%20S.n.c.&rc51bef4dd505413ebc19b4d510a3365a=Di%20Busin%20Nathalie%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Thiene&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02154450247&r1addcad129b44b3cb2220834a33335d5=businadriano%40yahoo.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Antica Fattoria Di Beniamino Bogon,,Bresseo,PD,Altro,02433660285,info@beniamino.biz,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Antica%20Fattoria%20Di%20Beniamino%20Bogon&r26540616401e4f999c44de10ddc004ee=Bresseo&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Altro&rc51aa2d7137f43a08b841f5ff85ce8c3=02433660285&r1addcad129b44b3cb2220834a33335d5=info%40beniamino.biz&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Erboristeria I Germogli Di Bozzato Anton,ella,Padova,PD,Erboristeria,05300770285,igermogli2006@libero.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20I%20Germogli%20Di%20Bozzato%20Anton&rc51bef4dd505413ebc19b4d510a3365a=ella&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=05300770285&r1addcad129b44b3cb2220834a33335d5=igermogli2006%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Erboristeria Dott.ssa Valeria Mognon di,Analemma s.a.s. di Mognon Valeria & C.,Padova,PD,Erboristeria,05226360286,valeria.mognon@tiscali.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Dott.ssa%20Valeria%20Mognon%20di&rc51bef4dd505413ebc19b4d510a3365a=Analemma%20s.a.s.%20di%20Mognon%20Valeria%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=05226360286&r1addcad129b44b3cb2220834a33335d5=valeria.mognon%40tiscali.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Erboristeria Holistica Di Bettero Elisa,,Villafranca Di Verona,VR,Erboristeria,04002590232,info@erboristeriaholistica.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Holistica%20Di%20Bettero%20Elisa&r26540616401e4f999c44de10ddc004ee=Villafranca%20Di%20Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04002590232&r1addcad129b44b3cb2220834a33335d5=info%40erboristeriaholistica.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Marangon s.a.s. di Marangon Lid,ia,Castelgomberto,VI,Farmacia,04183350240,maragonfatture@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Marangon%20s.a.s.%20di%20Marangon%20Lid&rc51bef4dd505413ebc19b4d510a3365a=ia&r26540616401e4f999c44de10ddc004ee=Castelgomberto&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04183350240&r1addcad129b44b3cb2220834a33335d5=maragonfatture%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Sanitaria Ortopedia Salute & Bellezza Di, Nicoletto Luisa,Santa Maria Maddalena,RO,Sanitaria Ortopedia,01309610291,info@sanitariaocchiobello.it,Lucca Paolo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sanitaria%20Ortopedia%20Salute%20%26%20Bellezza%20Di&rc51bef4dd505413ebc19b4d510a3365a=Nicoletto%20Luisa&r26540616401e4f999c44de10ddc004ee=Santa%20Maria%20Maddalena&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=01309610291&r1addcad129b44b3cb2220834a33335d5=info%40sanitariaocchiobello.it&r59bc1e759dc143c48cba2b322870aea3=Lucca%20Paolo
Farmacia Di Pincara Di Tamaselli Dr.ssa,Laura,Pincara,RO,Farmacia,00221060296,farm.pincara@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Di%20Pincara%20Di%20Tamaselli%20Dr.ssa&rc51bef4dd505413ebc19b4d510a3365a=Laura&r26540616401e4f999c44de10ddc004ee=Pincara&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=00221060296&r1addcad129b44b3cb2220834a33335d5=farm.pincara%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Brusadini S.a.s. Della Dr.ssa C,raighero Raffaella,Mestre,VE,Farmacia,03798020271,brusadini@alice.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Brusadini%20S.a.s.%20Della%20Dr.ssa%20C&rc51bef4dd505413ebc19b4d510a3365a=raighero%20Raffaella&r26540616401e4f999c44de10ddc004ee=Mestre&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03798020271&r1addcad129b44b3cb2220834a33335d5=brusadini%40alice.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Erboristeria L'Herbora Di Busti Annarita,,Povegliano Veronese,VR,Erboristeria,04106570239,lherbora@libero.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20L%27Herbora%20Di%20Busti%20Annarita&r26540616401e4f999c44de10ddc004ee=Povegliano%20Veronese&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04106570239&r1addcad129b44b3cb2220834a33335d5=lherbora%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Al Leon D'Oro S.a.s. Del Dott.,Soba Matteo,Padova,PD,Farmacia,03828400287,farmaciaalleondoro@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Al%20Leon%20D%27Oro%20S.a.s.%20Del%20Dott.&rc51bef4dd505413ebc19b4d510a3365a=Soba%20Matteo&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03828400287&r1addcad129b44b3cb2220834a33335d5=farmaciaalleondoro%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Domegliara S.a.s. dei Dottori A,ntonio Zonato E Riccardo Sorgi,S. Ambrogio Di Valpolicella,VR,Farmacia,04372490237,info@farmaciadomegliara.it,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Domegliara%20S.a.s.%20dei%20Dottori%20A&rc51bef4dd505413ebc19b4d510a3365a=ntonio%20Zonato%20E%20Riccardo%20Sorgi&r26540616401e4f999c44de10ddc004ee=S.%20Ambrogio%20Di%20Valpolicella&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04372490237&r1addcad129b44b3cb2220834a33335d5=info%40farmaciadomegliara.it&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Farmacia Donadelli Sas,Dott. Gianmaria Donadelli,Vicenza,VI,Farmacia,04367610245,farm.donadelli@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Donadelli%20Sas&rc51bef4dd505413ebc19b4d510a3365a=Dott.%20Gianmaria%20Donadelli&r26540616401e4f999c44de10ddc004ee=Vicenza&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04367610245&r1addcad129b44b3cb2220834a33335d5=farm.donadelli%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Cappellari Di Cappellari Dr. Re,nato,Rossano Veneto,VI,Farmacia,02168190243,info@farmaciacappellari.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Cappellari%20Di%20Cappellari%20Dr.%20Re&rc51bef4dd505413ebc19b4d510a3365a=nato&r26540616401e4f999c44de10ddc004ee=Rossano%20Veneto&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02168190243&r1addcad129b44b3cb2220834a33335d5=info%40farmaciacappellari.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farma Invest S.r.l.,,Rovereto,TN,Parafarmacia,02279210229,asaroanna.tn@gmail.com,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farma%20Invest%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Rovereto&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02279210229&r1addcad129b44b3cb2220834a33335d5=asaroanna.tn%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
L'Angolo Verde S.n.c. Di Crivellaro Stef,ano & C.,Piove Di Sacco,PD,Erboristeria,02282260286,stefanocrive63@gmail.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=L%27Angolo%20Verde%20S.n.c.%20Di%20Crivellaro%20Stef&rc51bef4dd505413ebc19b4d510a3365a=ano%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Piove%20Di%20Sacco&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02282260286&r1addcad129b44b3cb2220834a33335d5=stefanocrive63%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia Vitalis Di Zorzi Patrizia,,Siusi,BZ,Farmacia,02304470210,patrizia.zorzi@brennercom.net,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Vitalis%20Di%20Zorzi%20Patrizia&r26540616401e4f999c44de10ddc004ee=Siusi&r8df9a2a8446640338ce40a1c53c513d7=BZ&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02304470210&r1addcad129b44b3cb2220834a33335d5=patrizia.zorzi%40brennercom.net&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Farmacia Cesca Della Dott.ssa Daniela,,Revine Lago,TV,Farmacia,01245360266,farmacia_cesca@libero.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Cesca%20Della%20Dott.ssa%20Daniela&r26540616401e4f999c44de10ddc004ee=Revine%20Lago&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01245360266&r1addcad129b44b3cb2220834a33335d5=farmacia_cesca%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Spadaro Isabella,,Creazzo,VI,Farmacia,04100950247,farmacia.mei@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Spadaro%20Isabella&r26540616401e4f999c44de10ddc004ee=Creazzo&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04100950247&r1addcad129b44b3cb2220834a33335d5=farmacia.mei%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Al Redentor S.n.c. Di Marchetti, Pietro & C.,Vicenza,VI,Farmacia,03928640246,alredentor@hotmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Al%20Redentor%20S.n.c.%20Di%20Marchetti&rc51bef4dd505413ebc19b4d510a3365a=Pietro%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Vicenza&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03928640246&r1addcad129b44b3cb2220834a33335d5=alredentor%40hotmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Erboristeria Giaretta Dr. Graziano,,Sovizzo,VI,Erboristeria,01725430241,,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Giaretta%20Dr.%20Graziano&r26540616401e4f999c44de10ddc004ee=Sovizzo&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=01725430241&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
La Sanitaria Di Gaio Sandra & C. S.n.c.,,Brendola,VI,Sanitaria Ortopedia,01882990243,lasanitariagaio@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=La%20Sanitaria%20Di%20Gaio%20Sandra%20%26%20C.%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Brendola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=01882990243&r1addcad129b44b3cb2220834a33335d5=lasanitariagaio%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Immobiliare Adige S.a.s. Di Passarin Giu,lia & C.,Bonavigo,VR,Erboristeria,03806800235,passarini.giulia@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Immobiliare%20Adige%20S.a.s.%20Di%20Passarin%20Giu&rc51bef4dd505413ebc19b4d510a3365a=lia%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Bonavigo&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03806800235&r1addcad129b44b3cb2220834a33335d5=passarini.giulia%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Gennaro,,Camin,PD,Farmacia,04227770288,info@farmaciagennaro.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Gennaro&r26540616401e4f999c44de10ddc004ee=Camin&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04227770288&r1addcad129b44b3cb2220834a33335d5=info%40farmaciagennaro.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Al Ponte S.n.c. Di Bisiolin C.,e Rossetto F.,Motta Di Livenza,TV,Farmacia,03836010268,farmaciaalponte@libero.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Al%20Ponte%20S.n.c.%20Di%20Bisiolin%20C.&rc51bef4dd505413ebc19b4d510a3365a=e%20Rossetto%20F.&r26540616401e4f999c44de10ddc004ee=Motta%20Di%20Livenza&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03836010268&r1addcad129b44b3cb2220834a33335d5=farmaciaalponte%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Erboristeria Natura Bio Sas,,Campodarsego,PD,Erboristeria,04301640282,gloria.callepari@libero.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Natura%20Bio%20Sas&r26540616401e4f999c44de10ddc004ee=Campodarsego&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04301640282&r1addcad129b44b3cb2220834a33335d5=gloria.callepari%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Parafarmacia La Perla di Dott.ssa Marta,Tubini,Verona,VR,Parafarmacia,04540020239,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20La%20Perla%20di%20Dott.ssa%20Marta&rc51bef4dd505413ebc19b4d510a3365a=Tubini&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04540020239&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Farmacia San Giovanni Bosco,,Grancona,VI,Farmacia,02935090247,farmabat@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20San%20Giovanni%20Bosco&r26540616401e4f999c44de10ddc004ee=Grancona&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02935090247&r1addcad129b44b3cb2220834a33335d5=farmabat%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Soprana Dott.ssa Alessandra,,Verona,VR,Farmacia,03260780238,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Soprana%20Dott.ssa%20Alessandra&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03260780238&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Tuttonatura di Brunelli Roberta,,Tione Di Trento,TN,Erboristeria,02406980223,michelevigilio@alice.it,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Tuttonatura%20di%20Brunelli%20Roberta&r26540616401e4f999c44de10ddc004ee=Tione%20Di%20Trento&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02406980223&r1addcad129b44b3cb2220834a33335d5=michelevigilio%40alice.it&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
